conversation_id_str,full_text,lang,location,Stemming,Paslon,InSet_Score,Sentistrength_Score,Combined_Score
1734634537815023899,kalo masalah debat bicara si anis mah jagonya anjoyyy,in,,"['kalo', 'masalah', 'debat', 'bicara', 'si', 'anis', 'mah', 'jago', 'anjoyyy']",Anies,2.0,-3.0,-1.0
1734700200407498931,Debat Capres Prabowo dan Anis saling nagih janji dan bongkar buku lama. Ganjar di samping cuma bisa nyengir aja kayaknya dia ngerasa kaya di tengah-tengah drakor kali ah #bersamaGAMA #ganjarpranowojos #ganjarpranowo #mahfudmd #ganjarmahfud2024 #politikbermartabat #debatcapres https://t.co/musgLb5b7E,in,,"['debat', 'capres', 'prabowo', 'anis', 'saling', 'nagih', 'janji', 'bongkar', 'buku', 'lama', 'ganjar', 'samping', 'cuma', 'nyengir', 'aja', 'kayak', 'ngerasa', 'kaya', 'tengahtengah', 'drakor', 'kali', 'ah']",Anies,-8.0,1.0,-7.0
1734648783550791909,mau pilihan nya ganjar prabowo apa anis. tetep aja yang kalah emyu,in,"Bogor, Jawa Barat","['mau', 'pilih', 'nya', 'ganjar', 'prabowo', 'apa', 'anis', 'tetep', 'aja', 'kalah', 'emyu']",Anies,2.0,-3.0,-1.0
1734613957393219777,semoga sembuh di jaman pak anis. aminkan aja dulu hehe https://t.co/phZH3JEcRd,in,"Munich, Bavaria","['moga', 'sembuh', 'jaman', 'pak', 'anis', 'amin', 'aja', 'dulu', 'hehe']",Anies,7.0,0.0,7.0
1734629652361257310,WAKANDA NO MORE Anis amin km50 #AMINTerbaikNo1 #AMIN2024 https://t.co/BDd8ynATWg,in,,"['wakanda', 'no', 'more', 'anis', 'amin', 'km']",Anies,3.0,0.0,3.0
1734629167516524868,reminder from this day : prabowo ama anis putaran kedua biarpun anis terlalu utopia dan prabowo lagi lucu-lucunya. pak ganjar still got that chance even 0.0000001%,in,Bumi,"['reminder', 'from', 'this', 'day', 'prabowo', 'ama', 'anis', 'putar', 'biarpun', 'anis', 'terlalu', 'utopia', 'prabowo', 'luculucunya', 'pak', 'ganjar', 'still', 'got', 'that', 'chance', 'even']",Anies,-2.0,0.0,-2.0
1734619941729436000,Sekarang makin keliatan alasan kenapa mas anis pilih gus imin mas bowo pilih mas gibran mas ganjar pilih prof mahfud. Pinter pinter ini mas2 dan partainya. Kebayang klo mas anis sm ahy mas bowo sm pak ET atau mas ganjar sama pak sandi paling akan anu.,in,"Padang, Indonesia","['sekarang', 'makin', 'liat', 'alas', 'mas', 'anis', 'pilih', 'gus', 'imin', 'mas', 'bowo', 'pilih', 'mas', 'gibran', 'mas', 'ganjar', 'pilih', 'prof', 'mahfud', 'pinter', 'pinter', 'mas', 'partai', 'bayang', 'klo', 'mas', 'anis', 'sm', 'ahy', 'mas', 'bowo', 'sm', 'pak', 'et', 'mas', 'ganjar', 'sama', 'pak', 'sandi', 'paling']",Anies,23.0,0.0,23.0
1734605676868170061,Ganjar main aman Anis kaya kosa kata Prabowo jlab jleb ,in,"Jakarta Selatan, DKI Jakarta","['ganjar', 'main', 'aman', 'anis', 'kaya', 'kosa', 'kata', 'prabowo', 'jlab', 'jleb']",Anies,5.0,3.0,8.0
1734615735496782089,jjur debat capres isinya ngetawain prabski bjir kocak bat tingkahnya (in a good way ya) tp anis emg gokil public speakingnya puhh,in,,"['jjur', 'debat', 'capres', 'isi', 'ngetawain', 'prabski', 'bjir', 'kocak', 'bat', 'tingkah', 'in', 'a', 'good', 'way', 'tp', 'anis', 'emg', 'gokil', 'public', 'speakingnya', 'puhh']",Anies,-2.0,0.0,-2.0
1734627476624777352,Dia bilang: Pak anis kalau demokrasi tidak berjalan anda tidak akan jadi gubernur. Saya yang mengusungkan anda !! Saya pikir: Kalau demokrasi berjalan baik anda mungkin sudah banyak sekali kasusnya apalagi di masa lalu,in,,"['bilang', 'pak', 'anis', 'kalau', 'demokrasi', 'jalan', 'jadi', 'gubernur', 'usung', 'pikir', 'kalau', 'demokrasi', 'jalan', 'baik', 'mungkin', 'banyak', 'sekali', 'kasus', 'masa', 'lalu']",Anies,7.0,2.0,9.0
1734620021366620420,anis ngomong kaya penyiar radio yang ngomong diatas intro lagu dan berhenti saat penyanyinya masuk. Timingnya itu lo cakep wakaka wle,in,"Yogyakarta, Indonesia","['anis', 'ngomong', 'kaya', 'siar', 'radio', 'ngomong', 'atas', 'intro', 'lagu', 'henti', 'nyanyi', 'masuk', 'timingnya', 'lo', 'cakep', 'wakaka', 'wle']",Anies,1.0,2.0,3.0
1734619991213834321,Satu yang tidak diperbincangkan yaitu perdebatan antara anis dan ganjar,in,,"['satu', 'bincang', 'debat', 'anis', 'ganjar']",Anies,13.0,0.0,13.0
1734624459170910451,Anis menang debat itu bukan hal yg mustahil. Kita sudah tau anis dari dulu.. Jadi bukan hal yg istimewa sih klo public speakingnya bagus. Menjadi presiden lebih dari itu manufer politik dll. Sampai saat ini presiden indonesia yg paling cerdik berpolitik ya pak jokowi.,in,,"['anis', 'menang', 'debat', 'bukan', 'yg', 'mustahil', 'tau', 'anis', 'dulu', 'jadi', 'bukan', 'yg', 'istimewa', 'sih', 'klo', 'public', 'speakingnya', 'bagus', 'jadi', 'presiden', 'lebih', 'manufer', 'politik', 'presiden', 'indonesia', 'yg', 'paling', 'cerdik', 'politik', 'pak', 'jokowi']",Anies,5.0,4.0,9.0
